country,gender,age,year
DZA,muž,<0; 5),2023
AFG,muž,<35; 40),2023
AUT,muž,<30; 35),2023
BEL,muž,<0; 5),2023
BEL,muž,<60; 65),2023
BIH,muž,<15; 20),2023
DZA,muž,<65; 70),2023
AZE,muž,<35; 40),2023
AUT,muž,<10; 15),2023
BEL,muž,<35; 40),2023
BIH,muž,<25; 30),2023
BRA,muž,<20; 25),2023
BIH,muž,<80; 85),2023
BRA,muž,<40; 45),2023
XKX,muž,<25; 30),2023
BGR,muž,<65; 70),2023
BLR,muž,<55; 60),2023
BLR,muž,<60; 65),2023
BLR,muž,<80; 85),2023
CAN,muž,<5; 10),2023
BGR,muž,<10; 15),2023
CHL,muž,<20; 25),2023
CHL,muž,<30; 35),2023
CHN,muž,<5; 10),2023
CHN,muž,<70; 75),2023
CHN,muž,<75; 80),2023
TWN,muž,<20; 25),2023
CHN,muž,<40; 45),2023
CHN,muž,<85; N),2023
TWN,muž,<45; 50),2023
TWN,muž,<50; 55),2023
DNK,muž,<70; 75),2023
FRA,muž,<60; 65),2023
FRA,muž,<75; 80),2023
DEU,muž,<0; 5),2023
DEU,muž,<20; 25),2023
DEU,muž,<35; 40),2023
DEU,muž,<70; 75),2023
DNK,muž,<20; 25),2023
DEU,muž,<75; 80),2023
GHA,muž,<15; 20),2023
GHA,muž,<50; 55),2023
GHA,muž,<35; 40),2023
HUN,muž,<40; 45),2023
HUN,muž,<75; 80),2023
IND,muž,<10; 15),2023
IND,muž,<35; 40),2023
IND,muž,<55; 60),2023
IND,muž,<60; 65),2023
IND,muž,<75; 80),2023
HUN,muž,<80; 85),2023
IND,muž,<40; 45),2023
IRN,muž,<20; 25),2023
IRN,muž,<45; 50),2023
IRN,muž,<80; 85),2023
IRQ,muž,<10; 15),2023
IRQ,muž,<30; 35),2023
IRQ,muž,<40; 45),2023
IRQ,muž,<50; 55),2023
ITA,muž,<10; 15),2023
ITA,muž,<60; 65),2023
JPN,muž,<30; 35),2023
JPN,muž,<40; 45),2023
KAZ,muž,<70; 75),2023
JOR,muž,<25; 30),2023
ITA,muž,<0; 5),2023
JPN,muž,<5; 10),2023
JPN,muž,<25; 30),2023
JOR,muž,<20; 25),2023
JOR,muž,<30; 35),2023
JOR,muž,<60; 65),2023
MEX,muž,<40; 45),2023
MEX,muž,<60; 65),2023
MEX,muž,<70; 75),2023
MDA,muž,<30; 35),2023
NPL,muž,<20; 25),2023
NZL,muž,<10; 15),2023
NZL,muž,<30; 35),2023
NZL,muž,<65; 70),2023
NOR,muž,<55; 60),2023
NOR,muž,<65; 70),2023
PAK,muž,<0; 5),2023
PAK,muž,<10; 15),2023
PAK,muž,<15; 20),2023
POL,muž,<0; 5),2023
POL,muž,<10; 15),2023
POL,muž,<15; 20),2023
POL,muž,<50; 55),2023
RUS,muž,<0; 5),2023
RUS,muž,<20; 25),2023
SRB,muž,<35; 40),2023
SRB,muž,<75; 80),2023
SVK,muž,<50; 55),2023
VNM,muž,<30; 35),2023
VNM,muž,<65; 70),2023
SVN,muž,<55; 60),2023
SVN,muž,<75; 80),2023
ROU,muž,<50; 55),2023
ESP,muž,<20; 25),2023
ESP,muž,<75; 80),2023
SWE,muž,<0; 5),2023
SWE,muž,<5; 10),2023
SWE,muž,<20; 25),2023
SWE,muž,<25; 30),2023
TUN,muž,<45; 50),2023
TUN,muž,<65; 70),2023
TUN,muž,<85; N),2023
UKR,muž,<5; 10),2023
UKR,muž,<55; 60),2023
MKD,muž,<60; 65),2023
GBR,muž,<60; 65),2023
ESP,muž,<35; 40),2023
ESP,muž,<45; 50),2023
MKD,muž,<45; 50),2023
UKR,muž,<10; 15),2023
GBR,muž,<75; 80),2023
USA,muž,<35; 40),2023
USA,muž,<75; 80),2023
UZB,muž,<5; 10),2023
UZB,muž,<30; 35),2023
VEN,muž,<35; 40),2023
ALB,žena,<5; 10),2023
ALB,žena,<20; 25),2023
ALB,žena,<35; 40),2023
AUT,žena,<50; 55),2023
AUT,žena,<80; 85),2023
BRA,žena,<0; 5),2023
BRA,žena,<5; 10),2023
BRA,žena,<75; 80),2023
BGR,žena,<25; 30),2023
BLR,žena,<20; 25),2023
BRA,žena,<30; 35),2023
BGR,žena,<70; 75),2023
BGR,žena,<75; 80),2023
BLR,žena,<15; 20),2023
BLR,žena,<65; 70),2023
CAN,žena,<50; 55),2023
CAN,žena,<60; 65),2023
LKA,žena,<30; 35),2023
LKA,žena,<35; 40),2023
CHN,žena,<30; 35),2023
CHN,žena,<75; 80),2023
TWN,žena,<5; 10),2023
TWN,žena,<35; 40),2023
COL,žena,<50; 55),2023
CHL,žena,<40; 45),2023
COL,žena,<5; 10),2023
HRV,žena,<15; 20),2023
HRV,žena,<35; 40),2023
DNK,žena,<0; 5),2023
FIN,žena,<80; 85),2023
FRA,žena,<15; 20),2023
FRA,žena,<30; 35),2023
FRA,žena,<55; 60),2023
DEU,žena,<40; 45),2023
DEU,žena,<65; 70),2023
DEU,žena,<80; 85),2023
HUN,žena,<40; 45),2023
HUN,žena,<70; 75),2023
IND,žena,<15; 20),2023
IND,žena,<30; 35),2023
IND,žena,<40; 45),2023
IND,žena,<75; 80),2023
IDN,žena,<20; 25),2023
FRA,žena,<20; 25),2023
HUN,žena,<25; 30),2023
HUN,žena,<55; 60),2023
IRQ,žena,<5; 10),2023
IRQ,žena,<15; 20),2023
IRQ,žena,<25; 30),2023
IRQ,žena,<85; N),2023
IRL,žena,<5; 10),2023
IRL,žena,<35; 40),2023
IRL,žena,<50; 55),2023
IRL,žena,<60; 65),2023
IRL,žena,<75; 80),2023
ISR,žena,<15; 20),2023
ISR,žena,<20; 25),2023
ISR,žena,<30; 35),2023
ISR,žena,<70; 75),2023
ISR,žena,<75; 80),2023
KAZ,žena,<0; 5),2023
KAZ,žena,<50; 55),2023
KAZ,žena,<65; 70),2023
JPN,žena,<25; 30),2023
KGZ,žena,<70; 75),2023
MYS,žena,<30; 35),2023
MNG,žena,<35; 40),2023
POL,žena,<55; 60),2023
POL,žena,<75; 80),2023
ROU,žena,<55; 60),2023
RUS,žena,<0; 5),2023
